CellName,Current_pA,FiringRate_Hz
2023_04_13_01_0003.abf,250,2
2023_04_13_01_0003.abf,265,3
2023_04_13_01_0003.abf,280,4
2023_04_13_01_0003.abf,295,3
2023_04_13_01_0003.abf,310,3
2023_04_13_02_0003.abf,-50,0
2023_04_13_02_0003.abf,-35,0
2023_04_13_02_0003.abf,-20,0
2023_04_13_02_0003.abf,-5,0
2023_04_13_02_0003.abf,10,0
2023_04_13_02_0003.abf,25,0
2023_04_13_02_0003.abf,40,0
2023_04_13_02_0003.abf,55,3
2023_04_13_02_0003.abf,70,4
2023_04_13_02_0003.abf,85,5
2023_04_13_02_0003.abf,100,7
2023_04_13_02_0003.abf,115,8
2023_04_13_02_0003.abf,130,9
2023_04_13_02_0003.abf,145,10
2023_04_13_02_0003.abf,160,10
2023_04_13_02_0003.abf,175,11
2023_04_13_02_0003.abf,190,12
2023_04_13_02_0003.abf,205,12
2023_04_13_02_0003.abf,220,13
2023_04_13_02_0003.abf,235,14
2023_04_13_02_0003.abf,250,14
2023_04_13_02_0003.abf,265,14
2023_04_13_02_0003.abf,280,14
2023_04_13_02_0003.abf,295,15
2023_04_13_02_0003.abf,310,15
2023_04_13_04_0004.abf,-50,0
2023_04_13_04_0004.abf,-35,0
2023_04_13_04_0004.abf,-20,0
2023_04_13_04_0004.abf,-5,0
2023_04_13_04_0004.abf,10,0
2023_04_13_04_0004.abf,25,0
2023_04_13_04_0004.abf,40,1
2023_04_13_04_0004.abf,55,3
2023_04_13_04_0004.abf,70,8
2023_04_13_04_0004.abf,85,9
2023_04_13_04_0004.abf,100,10
2023_04_13_04_0004.abf,115,11
2023_04_13_04_0004.abf,130,12
2023_04_13_04_0004.abf,145,13
2023_04_13_04_0004.abf,160,13
2023_04_13_04_0004.abf,175,14
2023_04_13_04_0004.abf,190,13
2023_04_13_04_0004.abf,205,14
2023_04_13_04_0004.abf,220,15
2023_04_13_04_0004.abf,235,15
2023_04_13_04_0004.abf,250,15
2023_04_13_04_0004.abf,265,15
2023_04_13_04_0004.abf,280,15
2023_04_13_04_0004.abf,295,16
2023_04_13_04_0004.abf,310,16
2023_04_13_08_0003.abf,-50,0
2023_04_13_08_0003.abf,-35,0
2023_04_13_08_0003.abf,-20,0
2023_04_13_08_0003.abf,-5,0
2023_04_13_08_0003.abf,10,0
2023_04_13_08_0003.abf,25,0
2023_04_13_08_0003.abf,40,1
2023_04_13_08_0003.abf,55,5
2023_04_13_08_0003.abf,70,7
2023_04_13_08_0003.abf,85,8
2023_04_13_08_0003.abf,100,9
2023_04_13_08_0003.abf,115,10
2023_04_13_08_0003.abf,130,11
2023_04_13_08_0003.abf,145,11
2023_04_13_08_0003.abf,160,12
2023_04_13_08_0003.abf,175,12
2023_04_13_08_0003.abf,190,13
2023_04_13_08_0003.abf,205,13
2023_04_13_08_0003.abf,220,13
2023_04_13_08_0003.abf,235,13
2023_04_13_08_0003.abf,250,14
2023_04_13_08_0003.abf,265,14
2023_04_13_08_0003.abf,280,14
2023_04_13_08_0003.abf,295,14
2023_04_13_08_0003.abf,310,14
2023_04_13_09_0003.abf,-50,0
2023_04_13_09_0003.abf,-35,0
2023_04_13_09_0003.abf,-20,0
2023_04_13_09_0003.abf,-5,0
2023_04_13_09_0003.abf,10,0
2023_04_13_09_0003.abf,25,0
2023_04_13_09_0003.abf,40,1
2023_04_13_09_0003.abf,55,3
2023_04_13_09_0003.abf,70,7
2023_04_13_09_0003.abf,85,8
2023_04_13_09_0003.abf,100,9
2023_04_13_09_0003.abf,115,10
2023_04_13_09_0003.abf,130,11
2023_04_13_09_0003.abf,145,12
2023_04_13_09_0003.abf,160,13
2023_04_13_09_0003.abf,175,14
2023_04_13_09_0003.abf,190,14
2023_04_13_09_0003.abf,205,15
2023_04_13_09_0003.abf,220,16
2023_04_13_09_0003.abf,235,16
2023_04_13_09_0003.abf,250,17
2023_04_13_09_0003.abf,265,17
2023_04_13_09_0003.abf,280,17
2023_04_13_09_0003.abf,295,16
2023_04_13_09_0003.abf,310,16
2023_05_11_05_0003.abf,-50,0
2023_05_11_05_0003.abf,-35,0
2023_05_11_05_0003.abf,-20,0
