CellName,strain,treatment,Rm,Rb,Threshold,maxFiringRate
2023_01_13_04,WKY,1,33.7773939857186,271.632600127837,10.7453697114876,17.7058462876001
2023_01_13_05,WKY,1,30.5985018917808,104.971099244954,28.4959678876861,22.2875961743834
2023_02_02_03_0007.abf,WKY,1,62.3012787128573,525.484848105793,7.79977820075071,22.7471304364139
2023_02_02_04_0007.abf,WKY,1,44.6218094283835,399.156813916207,38.9123647567981,18.0477746789013
2023_02_02_05_0007.abf,WKY,1,53.949035917959,698.031933887608,37.744959195913,15.137683343479
2023_03_15_04_0005.abf,WKY,1,35.508260895357,253.440292409708,26.5172132734573,18.7475285410008
2023_03_16_01_0007.abf,WKY,1,71.8595163408596,754.54790919962,1.81043338612867e-07,20.9257374552488
2023_03_16_02_0007.abf,WKY,1,44.7594015864371,458.469445029789,44.9797878534634,16.3957369484531
2023_03_16_03_0005.abf,WKY,1,28.2031604335214,57.2291365185386,26.1529922658873,23.4709546023547
2023_03_16_04_0007.abf,WKY,1,22.3819777960666,81.1869822350336,108.225458124523,15.9601674830698
2023_03_16_05_0005.abf,WKY,1,36.3245017077236,527.246534815539,44.9468941456859,12.1518696993255
2023_03_16_06_0005.abf,WKY,1,20.8670386374313,53.5462108024726,65.4819539473118,17.1183474609304
2023_03_16_07_0005.abf,WKY,1,31.1811584266306,279.550540504749,23.0005563884943,15.7955615047178
2023_03_31_01_0006.abf,WKY,1,40.4637037154481,698.013121337883,30.1101709766394,11.5812914874477
2023_04_12_05_0003.abf,WKY,1,20.2327441678022,180.320923399619,23.787790116023,12.412534088471
2023_04_13_05_0004.abf,WKY,1,46.6363113818582,253.428449558531,48.7680895916237,23.6717137443149
2023_04_13_06_0003.abf,WKY,1,44.0053119344279,653.391617243594,63.1208334279611,12.0674745092461
2023_05_12_07_0004.abf,WKY,1,16.5194985116613,191.520059394301,83.909159424411,8.94351010631661
2023_05_22_01_0004.abf,WKY,1,24.4945333086837,102.290136191763,108.067361272239,16.2586306917224
2023_05_22_06_0005.abf,WKY,1,31281.7641423067,446666.470400122,95.4928610156808,15.0155456728101
2023_06_08_01_0004.abf,WKY,1,36.7346487129348,217.906672216458,27.1692049221438,20.7487767163196
2023_06_08_03,WKY,1,14.5604881044175,142.773333348692,108.424785541113,8.52343804253274
2023_07_06_02,WKY,1,34.1562988857698,165.985124610875,23.5495189955706,21.6253719285723
2024_12_16_02,WKY,1,45.6160604560743,144.915217879244,14.1038866963489,30.6199365541638
