CellName,strain,treatment,Rm,Rb,Threshold,maxFiringRate
2023_01_13_03_0005.abf,SHR,1,29.6200295991543,153.940137337888,17.3323047916704,19.4103756429079
2023_02_03_03_0008.abf,SHR,1,41.4786715626011,318.616958941351,7.83694591905851,20.189635322756
2023_03_02_01_0007.abf,SHR,1,25.0044620894251,274.738074023718,30.3746270279221,12.6124514082089
2023_03_31_02_0003.abf,SHR,1,17.9706545733055,94.7723419948944,88.3232923661506,12.5886791080876
2023_04_13_01_0003.abf,SHR,1,5.14572731061649,118.525488573884,83.2028257873744,3.37955349903593
2023_04_13_02_0003.abf,SHR,1,23.5337201741764,150.942376084561,38.2601955223732,15.1296856429012
2023_04_13_04_0004.abf,SHR,1,17.9512852017316,40.5296445830836,45.111672675288,15.5691097046872
2023_04_13_08_0003.abf,SHR,1,16.8689244774159,52.1659509421862,35.7961962664695,14.1726467919708
2023_04_13_09_0003.abf,SHR,1,23.2279936608966,95.7516208655524,36.5397932311646,17.204031598966
2023_05_11_05_0003.abf,SHR,1,36.9941268480723,191.512823201535,18.0337424977606,22.3402360029151
2023_05_22_07_0005.abf,SHR,1,6.52192519477435,79.8294750603608,71.7986471029736,4.88484533045523
2023_05_25_02_0003.abf,SHR,1,17.8635319843284,59.7121551451178,78.8237387096352,14.1965932785564
2023_05_25_04_0003.abf,SHR,1,28.8521226383961,114.844635056692,33.7778532014772,20.3791158560295
2023_05_26_02_0003.abf,SHR,1,17.1046552445937,137.378376626654,61.7415560421317,11.0113320844785
2023_06_22_01_0004.abf,SHR,1,24.7474899972044,150.029697336719,33.2236248205447,16.0483203433252
2023_07_06_01_0005.abf,SHR,1,29.5039818646607,208.686042885219,66.3884472059301,15.891109977853
2023_07_06_04,SHR,1,27.9414239122878,177.829685347254,91.2148718359747,15.4133627980625
